,car,move
1020,H,1
1021,K,-1
1022,H,-1
1023,H,1
1024,K,2
1025,E,1
1026,F,-1
1027,L,-1
1028,L,1
1029,D,-1
1030,X,-1
1031,G,1
1032,B,-1
1033,L,-1
1034,B,1
1035,B,-1
1036,D,1
1037,B,1
1038,G,-1
1039,D,-1
1040,D,1
1041,L,1
1042,X,1
1043,X,-1
1044,F,1
1045,G,1
1046,G,-1
1047,G,1
1048,B,-1
1049,F,-1
1050,B,1
1051,E,-1
1052,H,-2
1053,I,-1
1054,H,1
1055,H,-1
1056,H,1
1057,B,-1
1058,F,1
1059,B,1
1060,I,-1
1061,F,-1
1062,J,1
1063,J,-1
1064,I,1
1065,L,-1
1066,L,1
1067,I,1
1068,G,1
1069,I,-2
1070,J,1
1071,B,-1
1072,G,-1
1073,L,-1
1074,J,-1
1075,J,1
1076,J,-1
1077,J,1
1078,B,1
1079,G,-1
1080,L,-1
1081,L,1
1082,X,1
1083,J,-1
1084,L,1
1085,H,-1
1086,X,-1
1087,I,2
1088,H,1
1089,L,-2
1090,L,1
1091,X,1
1092,I,-2
1093,I,1
1094,X,-1
1095,G,1
1096,I,1
1097,I,-1
1098,B,-1
1099,I,1
1100,I,-1
1101,I,-1
1102,I,1
1103,B,1
1104,L,1
1105,L,-1
1106,B,-1
1107,I,1
1108,I,-1
1109,L,1
1110,F,1
1111,F,-1
1112,L,-1
1113,B,1
1114,I,-1
1115,L,1
1116,H,-1
1117,H,1
1118,L,-1
1119,A,1
1120,I,2
1121,H,1
1122,L,1
1123,F,1
1124,E,1
1125,F,-1
1126,D,-1
1127,A,-1
1128,F,1
1129,G,-1
1130,D,1
1131,F,-1
1132,X,1
1133,F,1
1134,E,-1
1135,H,-1
1136,H,1
1137,F,1
1138,K,-1
1139,X,-1
1140,K,1
1141,K,-1
1142,F,-1
1143,F,1
1144,F,-1
1145,F,1
1146,X,1
1147,K,-1
1148,K,2
1149,K,-2
1150,K,2
1151,K,-1
1152,X,-1
1153,F,-1
1154,F,1
1155,X,1
1156,K,1
1157,K,-2
1158,F,-1
