,car,move
1187,L,-1
1188,L,1
1189,G,1
1190,D,1
1191,D,-1
1192,G,-1
1193,F,1
1194,D,1
1195,E,-1
1196,F,1
1197,B,1
1198,A,1
1199,F,-2
1200,L,-1
1201,L,1
1202,H,-2
1203,H,1
1204,G,1
1205,A,-1
1206,I,-2
1207,J,1
1208,G,-2
1209,L,-1
1210,J,-1
1211,G,1
1212,B,-1
1213,L,1
1214,G,1
1215,I,2
1216,H,1
1217,G,-1
1218,F,1
1219,E,1
1220,F,-1
1221,D,-1
1222,F,1
1223,K,-1
1224,B,1
1225,K,1
1226,K,-1
1227,K,1
1228,A,1
1229,K,-1
1230,D,1
1231,K,1
1232,E,-1
1233,F,-1
1234,E,1
1235,A,-1
1236,L,-1
1237,D,-1
1238,G,-1
1239,L,1
1240,X,1
1241,F,1
1242,D,1
1243,K,-1
1244,K,-1
1245,K,2
1246,K,-1
1247,D,-1
1248,K,-1
1249,D,1
1250,K,1
1251,K,-1
1252,K,1
1253,X,-1
1254,K,1
1255,F,-1
1256,F,1
1257,D,-1
1258,X,1
1259,K,-1
1260,D,1
1261,K,1
1262,K,-1
1263,K,-1
1264,K,2
1265,X,-1
1266,K,-1
1267,G,1
1268,B,-1
1269,K,1
1270,F,-1
1271,D,-1
1272,D,1
1273,B,1
1274,B,-1
1275,L,-1
1276,B,1
1277,G,-1
1278,L,1
1279,X,1
1280,D,-1
1281,F,1
1282,X,-1
1283,K,-1
1284,D,1
1285,D,-1
1286,X,1
1287,K,-1
1288,K,2
1289,F,-1
1290,F,1
1291,K,-1
1292,K,1
1293,D,1
1294,D,-1
1295,K,-2
1296,K,2
1297,D,1
1298,K,-1
1299,D,-1
1300,K,1
1301,X,-1
1302,X,1
1303,K,-1
1304,K,-1
1305,K,2
1306,K,-1
1307,K,1
1308,F,-1
1309,L,-1
1310,D,1
1311,X,-1
1312,D,-1
1313,G,1
1314,L,1
1315,B,-1
1316,F,1
1317,F,-1
1318,D,1
1319,B,1
1320,D,-1
1321,D,1
1322,G,1
1323,G,-1
1324,G,-1
1325,X,1
1326,L,-1
1327,X,-1
1328,G,1
1329,A,1
1330,D,-1
1331,D,1
1332,E,-1
1333,L,1
1334,G,1
1335,A,-1
1336,G,-1
1337,L,-1
1338,E,1
1339,G,-1
1340,G,1
1341,B,-1
1342,L,1
1343,L,-1
1344,B,1
1345,G,-1
1346,X,1
1347,L,1
1348,D,-1
1349,L,-1
1350,L,1
1351,L,-1
1352,L,1
1353,X,-1
1354,G,1
1355,F,1
1356,G,-1
1357,K,-1
1358,G,1
1359,D,1
1360,E,-1
1361,K,1
1362,H,-1
1363,I,-2
1364,K,-1
1365,J,1
1366,J,-1
1367,J,1
1368,K,1
1369,K,-1
1370,K,1
1371,J,-1
1372,I,2
1373,G,-1
1374,K,-1
1375,H,1
1376,X,1
1377,K,-1
1378,K,1
1379,F,1
1380,K,-1
1381,K,1
1382,K,-1
1383,K,1
1384,F,-1
1385,X,-1
1386,F,1
1387,X,1
1388,K,1
1389,F,-1
1390,K,-1
1391,K,1
1392,K,-2
1393,K,1
1394,E,1
1395,K,1
1396,E,-1
1397,F,-1
1398,F,2
1399,F,-2
1400,F,1
1401,K,-2
1402,F,1
1403,K,1
1404,F,-1
1405,X,-1
1406,H,-1
1407,I,-2
1408,K,1
1409,G,1
1410,F,-1
1411,B,-1
1412,G,1
1413,I,2
1414,C,1
1415,C,-1
1416,H,1
1417,E,1
1418,D,-2
1419,D,2
1420,E,-1
1421,G,-1
1422,B,1
1423,E,1
1424,D,-1
1425,B,-1
1426,L,-1
1427,B,1
1428,G,-1
1429,X,1
1430,X,-1
1431,X,1
1432,X,-1
1433,D,1
1434,D,-1
1435,G,1
1436,D,1
1437,B,-1
1438,L,1
1439,E,-1
1440,E,1
1441,D,-1
1442,D,1
1443,B,1
1444,B,-1
1445,L,-1
1446,B,1
1447,D,-1
1448,A,1
1449,L,1
1450,F,1
1451,A,-1
1452,B,-1
1453,D,1
1454,E,-1
1455,B,1
1456,A,1
1457,A,-1
1458,F,1
1459,B,-1
1460,F,-1
1461,H,-1
1462,H,1
1463,K,-1
1464,K,1
1465,B,1
1466,A,1
1467,F,-1
1468,F,2
1469,F,-2
1470,G,1
1471,A,-1
1472,E,1
1473,G,-2
1474,F,1
1475,D,-1
1476,X,1
1477,D,1
1478,X,-1
1479,D,-1
1480,K,-1
1481,G,1
1482,K,1
1483,F,-1
1484,L,-1
1485,D,1
1486,B,-1
1487,E,-1
1488,E,1
1489,L,1
1490,E,-1
1491,F,2
1492,B,1
1493,G,-1
1494,F,-1
1495,E,1
1496,E,-1
1497,E,1
1498,E,-1
1499,H,-1
1500,X,1
1501,K,-2
1502,I,-2
1503,I,2
1504,I,-1
1505,I,-1
1506,K,1
1507,I,1
1508,K,1
1509,I,-1
1510,K,-2
1511,K,1
1512,J,1
1513,J,-1
1514,X,-1
1515,X,1
1516,X,-1
1517,J,1
1518,K,1
1519,G,1
1520,G,-1
1521,X,1
1522,J,-1
1523,J,1
1524,F,-1
1525,X,-1
1526,L,-2
1527,L,2
1528,H,-1
1529,H,1
1530,G,2
1531,C,1
1532,C,-1
1533,G,-1
1534,F,1
1535,J,-1
1536,I,2
1537,H,1
1538,K,-1
1539,G,-1
1540,X,1
1541,K,1
1542,F,1
1543,F,-1
1544,F,1
1545,F,-1
1546,F,-1
1547,H,-2
1548,X,-1
1549,I,-2
1550,J,1
1551,H,1
1552,X,1
1553,H,-1
1554,X,-1
1555,X,1
1556,J,-1
1557,I,2
1558,X,-1
1559,H,1
1560,F,1
1561,I,-2
1562,J,1
1563,G,1
1564,A,1
1565,J,-1
1566,I,1
1567,K,-1
1568,I,-1
1569,I,2
1570,I,-1
1571,K,1
1572,I,-1
1573,A,-1
1574,I,1
1575,B,-1
1576,K,-1
1577,I,-1
1578,J,1
1579,B,1
1580,B,-1
1581,B,1
1582,G,-1
1583,J,-1
1584,X,1
1585,X,-1
1586,G,1
1587,I,1
1588,G,-1
1589,I,1
1590,I,-1
1591,X,1
1592,I,1
1593,X,-1
1594,K,1
1595,I,-2
1596,J,1
1597,G,1
1598,K,-1
1599,B,-1
1600,B,1
1601,K,1
1602,A,1
1603,J,-1
1604,I,1
1605,I,1
1606,I,-2
1607,J,1
1608,F,-1
1609,J,-1
1610,A,-1
1611,F,1
1612,A,1
1613,I,2
1614,I,-2
1615,I,1
1616,A,-1
1617,F,-1
1618,I,-1
1619,I,2
1620,I,-2
1621,J,1
1622,G,1
1623,G,-2
1624,H,-1
1625,X,1
1626,X,-1
1627,J,-1
1628,X,1
1629,X,-1
1630,G,1
1631,A,1
1632,A,-1
1633,G,-1
1634,J,1
1635,X,1
1636,H,1
1637,L,-1
1638,L,1
1639,J,-1
1640,I,1
1641,I,1
1642,I,-2
1643,F,1
1644,F,-1
1645,J,1
1646,H,-1
1647,H,1
1648,L,-1
1649,X,-1
1650,L,-1
1651,L,1
1652,X,1
1653,L,1
1654,L,-1
1655,J,-1
1656,L,1
1657,F,1
1658,K,-2
1659,K,2
1660,K,-2
1661,K,2
1662,K,-2
1663,J,1
1664,K,1
1665,K,-1
1666,K,1
1667,X,-1
1668,X,1
1669,K,-1
1670,K,1
1671,J,-1
1672,X,-1
1673,X,1
1674,I,1
1675,I,1
1676,K,-1
1677,I,-1
1678,K,2
1679,I,-1
1680,K,-2
1681,J,1
1682,K,2
